id;place_id;name;address;vicinity;url;website;google_rating;bt_rating;number_of_reviews;price_level;permanently_closed;user_id
1;initiative;SMTP;Plastic primary;Home Loan Account;https://margarett.net;connect redundant;11921;65338;36185;Spring;true;2
2;Dynamic Unbranded Avon;revolutionize mobile Investment Account;Mouse Frozen deposit;SMTP Checking Account online;http://raegan.info;Security Dominican Republic;72997;54475;23695;navigate Specialist Tasty Granite Ball;false;2
3;Fish transmit;Global;transitional invoice;deliver;https://camren.com;Shoes Assistant;76593;88846;20309;Garden;true;2
4;Arizona Maryland hacking;open-source connect;navigating;Licensed Concrete Chips wireless;http://leda.info;yellow;35435;50178;9518;deposit Shoes;false;2
5;transmitting Gold;Multi-lateral maroon;Fiji Dollar;e-business;https://christop.org;Functionality;17730;48169;19227;Producer Handcrafted;true;1
6;system;bluetooth Tuna Cook Islands;deposit;Nebraska;http://hester.name;TCP silver client-driven;78051;52178;23435;synergies Baby 1080p;true;1
7;Designer Licensed Granite Shoes synergize;Money Market Account Bedfordshire Fundamental;EXE bluetooth quantifying;Legacy Spur yellow;https://vergie.info;Maryland;10263;49558;94316;Kids;true;1
8;Cotton Corporate;back-end violet;mint green;panel productize;http://keven.info;generating parallelism;88212;45996;32027;primary;true;2
9;Bulgarian Lev Grocery Planner;calculate;Data one-to-one Kiribati;Handcrafted Wooden Chips SCSI;https://retta.name;Response Buckinghamshire;73273;90140;55501;recontextualize Automotive Walk;true;2
10;applications;Toys;Keyboard Directives;Wells Chair alarm;https://kaitlin.info;emulation invoice;80882;78513;2086;User-centric Research;true;2
