id;review;taste;likeness;menu_diversity;service;price_level;recommended;visit_id;user_id
1;Comoro Franc program XSS;56780;52024;35205;56213;33077;true;1;1
2;Orchestrator protocol;65233;73148;67965;80245;30408;false;2;1
3;Home Loan Account payment;62414;52184;64680;2719;51374;true;3;2
4;Bacon Organized Tanzanian Shilling;52837;47638;45735;3673;32607;false;4;1
5;Concrete Licensed;71511;35798;32167;61301;72189;true;5;1
6;interface Practical Plastic Salad even-keeled;98298;96596;67927;4065;3382;true;6;1
7;Lithuania Hat;49223;9291;78697;62160;70894;true;7;1
8;Bhutan Overpass;18598;54266;57122;91225;64121;true;8;2
9;Republic of Korea;60048;47036;14809;68814;19840;false;9;1
10;parse Manager mission-critical;1332;89937;91658;89741;51780;true;10;2
